"Fehlercode","Name","Kernmotiv"
"400","Bad Request","Fragmentiertes Datenpaket, fehlerhafte Syntax"
"401","Unauthorized","Digitales Schloss, abgewiesener Login"
"403","Forbidden","Digitale Firewall-Barriere, blockierter Zugang"
"404","Not Found","Leerer Server-Slot, erfolgloser Suchlauf"
"405","Method Not Allowed","API-Panel mit durchgestrichener Methode"
"408","Request Timeout","Abgelaufener Countdown, eingefrorenes Paket"
"413","Content Too Large","Überdimensionales Datenpaket, überlaufende Pipeline"
"429","Too Many Requests","Überfluteter Server-Endpunkt, Rate-Limit-Anzeige"
"500","Internal Server Error","Kritisch versagender Server-Rack, Fehler-Kaskade"
"501","Not Implemented","Leerer Modul-Platzhalter, unvollständiges Blueprint"
"502","Bad Gateway","Getrennter Gateway-Knoten, gerissene Upstream-Verbindung"
"503","Service Unavailable","Server im kontrollierten Wartungsmodus"
"504","Gateway Timeout","Gateway wartet vergeblich auf Upstream-Antwort"
